parameter,value,distribute
k1_Cp0,1.00E-04,0
k1_CpB0,1.00E-04,0
k1_CpM0,1.00E-04,0
k1_CpBM0,1.00E-04,0
k1_CpS,7.00E+00,0
k1_CpBS,2.00E+01,0
k1_CpMS,1.70E+01,0
k1_CpBMS,1.00E+00,0
k2_kmCpS,1.00E+00,0
k2_kmCpBS,1.00E+00,0
k2_kmCpMS,1.00E+00,0
k2_kmCpBMS,5.00E+00,0
k1_Cpu,7.50E-01,0
k1_CpBu,1.95E+00,0
k1_CpMu,3.75E+00,0
k1_CpBMu,2.50E-01,0
k2_kmCpu,1.00E+00,0
k2_kmCpBu,1.00E+00,0
k2_kmCpMu,1.00E+00,0
k2_kmCpBMu,2.50E+00,0
k1_BaM,5.00E-01,0
k1_CaB,5.00E-01,0
k1_CaM,5.00E-01,0
k1_CBaM,1.50E+00,0
k1_CMaB,5.00E-01,0
k1_CaBM,5.00E-01,0
k1_CpaBM,1.89E+00,0
k1_CpaB,7.89E+00,0
k1_CpaM,4.59E+00,0
k1_CpBaM,2.50E+00,0
k1_CpMaB,1.50E+00,0
k1_BdM,2.50E+00,0
k1_CdB,1.00E+00,0
k1_CdM,2.50E+00,0
k1_CBdM,1.50E+00,0
k1_CMdB,2.50E+00,0
k1_CpdB,3.00E-01,0
k1_CpdM,3.00E-01,0
k1_CpBdM,1.50E-01,0
k1_CpMdB,4.50E-01,0
k1_CdBM,2.00E-01,0
k1_CpdBM,2.50E-01,0
k1_Tp0,2.70E-01,0
k1_CTpS,3.20E-01,0
k1_CBTpS,1.32E+00,0
k1_CMTpS,1.32E+00,0
k1_CBMTpS,1.32E+00,0
k2_kmCTpS,2.10E+00,0
k2_kmCBTpS,2.10E+00,0
k2_kmCMTpS,2.10E+00,0
k2_kmCBMTpS,2.10E+00,0
k1_TpIKK1,1.67E+01,0
k2_kmTpIKK1,7.80E-01,0
k1_Tpu,3.40E+00,0
k2_kmTpu,1.79E+00,0
k1_TpC0,3.30E-01,0
k1_CTpCS,5.50E+00,0
k1_CBTpCS,1.75E+01,0
k1_CMTpCS,1.65E+01,0
k1_CBMTpCS,2.45E+01,0
k2_kmCTpCS,5.20E-01,0
k2_kmCBTpCS,5.20E-01,0
k2_kmCMTpCS,5.20E-01,0
k2_kmCBMTpCS,5.20E-01,0
k1_TpCIKK1,1.00E+01,0
k2_kmTpCIKK1,7.80E-01,0
k1_TpCIKK2,1.71E+01,0
k2_kmTpCIKK2,1.30E-01,0
k1_TpCIKK3,8.00E+01,0
k2_kmTpCIKK3,7.00E-01,0
k1_TpCu,1.53E+01,0
k2_kmTpCu,8.00E-01,0
k1_TaB,1.79E+02,0
k1_TaM,1.69E+02,0
k1_TaBM,3.69E+02,0
k1_TpaB,3.79E+00,0
k1_TpaM,3.79E+00,0
k1_TpaBM,3.79E+00,0
k1_TCd,4.00E+02,0
k1_TpCd,3.21E+00,0
k1_Ip0,5.50E-02,0
k1_IpTAKp,1.93E+00,0
k2_kmIpTAKp,4.00E-01,0
k1_IpTAKpC,3.80E+00,0
k2_kmIpTAKpC,5.80E-01,0
k1_Ipu,1.50E+01,0
k2_kmIpu,6.70E-01,0
k1_ICp0,5.10E-02,0
k1_ICpTAKp,8.64E+00,0
k2_kmICpTAKp,7.10E+00,0
k1_ICpTAKpC,1.23E+01,0
k2_kmICpTAKpC,7.18E+00,0
k1_IpCu,1.25E+01,0
k2_kmIpCu,5.41E+00,0
k1_IaB,3.03E+01,0
k1_IaM,2.23E+01,0
k1_IaBM,5.03E+01,0
k1_IpaB,3.13E+01,0
k1_IpaM,2.33E+01,0
k1_IpaBM,6.03E+01,0
k1_ICd,3.28E+01,0
k1_IpCd,1.32E+00,0
k1_IpCfaIKKpC,1.00E-05,0
k2_kmIpCfaIKKpC,2.56E+00,0
k1_IpCfaIKKppC,1.09E+02,0
k2_kmIpCfaIKKppC,2.01E+00,0
k1_IppCu,1.53E+00,0
k2_kmIppCu,2.00E-01,0
k1_IppCd,4.50E-01,0
k1_IppChf,1.00E-01,0
k2_kmIppChf,5.00E-01,0
k1_Ipphf,9.00E-03,0
k2_kmIpphf,1.52E+00,0
k1_Iir,1.44E+00,0
k2_kmIir,3.44E+00,0
k1_A20linearinduction,1.00E+00,0
k1_A20log2halflife,0.001444057,0
k3_kdA20inhibition,1.00E+00,0
k1_halflife_A20,4.80E+02,0
k1_A20basalexpression,1.00E-02,0
k3_signal,t->BCRFunc(t),0
k1_IpCA20,2.00E+01,0
k2_kmIpCA20,1.00E-03,0
k1_IpA20,2.00E+01,0
k2_kmIpA20,1.00E-03,0
