parameter,value,distribute
k1_TRAF6mediatedTAK1_offactivation-linking,1,0
k2_kmTRAF6mediatedTAK1activation-linking,0.02,0
k3_TLRscalingfactor-linking,15000,0
k1_Ip0-linking,5.50E-02,0
k1_IpTAKp-linking,1.93E+00,0
k2_kmIpTAKp-linking,4.00E-01,0
k3_kdA20inhibition-linking,1.00E+05,0
k1_IpTAKpC-linking,3.80E+00,0
k2_kmIpTAKpC-linking,0.0025,0
k1_Ipu-linking,1.50E+01,0
k2_kmIpu-linking,6.70E-01,0
k1_Iir-linking,1.44E+00,0
k2_kmIir-linking,3.44E+00,0
k1_TpCu-linking,1.53E+01,0
k2_kmTpCu-linking,8.00E-01,0
k1_CTpCS-linking,5.50E+00,0
k3_CBTpCS-linking,1.75E+01,0
k5_CMTpCS-linking,1.65E+01,0
k7_CBMTpCS-linking,2.45E+01,0
k2_kmCTpCS-linking,5.20E-01,0
k4_kmCBTpCS-linking,5.20E-01,0
k6_kmCMTpCS-linking,5.20E-01,0
k8_kmCBMTpCS-linking,5.20E-01,0
k9_TpCIKK1-linking,1.00E+01,0
k10_kmTpCIKK1-linking,7.80E-01,0
k11_TpCIKK2-linking,1.71E+01,0
k12_kmTpCIKK2-linking,1.30E-01,0
k13_TpCIKK3-linking,8.00E+01,0
k14_kmTpCIKK3-linking,7.00E-01,0
k1_TpCu-linking,1.53E+01,0
k2_kmTpCu-linking,8.00E-01,0
k1_Ip0-linking,5.50E-02,0
k1_IpTAKp-linking,1.93E+00,0
k2_kmIpTAKp-linking,4.00E-01,0
k1_IpTAKpC-linking,3.80E+00,0
k2_kmIpTAKpC-linking,0.0025,0
k1_Tpu-linking,3.40E+00,0
k2_kmTpu-linking,1.79E+00,0
k1_TpC0-linking,3.30E-01,0
k1_IkBaDegIKK-linking,0.0014,0
k1_IkBbDegIKK-linking,0.0014,0
k1_IkBeDegIKK-linking,0.0014,0
k1_IkBadeg-linking,0.12,0
k1_IkBbdeg-linking,0.12,0
k1_IkBedeg-linking,0.01155,0
k1_IkBDeg-linking,0.00024,0
k1_logNEMOIKKinactivation-linking,1,0
k2_kmNEMOIKK-linking,0.05,0
k1_NEMOIKK-linking,10,0
k3_NEMOIKKhill-linking,2,0
k15_BCRscalingfactor-linking,1,0
k1_Tp0-linking,2.70E-01,0
k1_CTpS-linking,3.20E-01,0
k3_CBTpS-linking,1.32E+00,0
k5_CMTpS-linking,1.32E+00,0
k7_CBMTpS-linking,1.32E+00,0
k2_kmCTpS-linking,2.10E+00,0
k4_kmCBTpS-linking,2.10E+00,0
k6_kmCMTpS-linking,2.10E+00,0
k8_kmCBMTpS-linking,2.10E+00,0
k9_TpIKK1-linking,1.67E+01,0
k10_kmTpIKK1-linking,7.80E-01,0
k11_TpIKK2-linking,0.00E+00,0
k12_kmTpIKK2-linking,0.00E+00,0
k13_TpIKK3-linking,0.00E+00,0
k14_kmTpIKK3-linking,0.00E+00,0
k1_Cp0-BCR,1.00E-04,0
k1_CpB0-BCR,1.00E-04,0
k1_CpM0-BCR,1.00E-04,0
k1_CpBM0-BCR,1.00E-04,0
k1_CpS-BCR,7.00E+00,0
k1_CpBS-BCR,2.00E+01,0
k1_CpMS-BCR,1.70E+01,0
k1_CpBMS-BCR,1.00E+00,0
k2_kmCpS-BCR,1.00E+00,0
k2_kmCpBS-BCR,1.00E+00,0
k2_kmCpMS-BCR,1.00E+00,0
k2_kmCpBMS-BCR,5.00E+00,0
k1_Cpu-BCR,7.50E-01,0
k1_CpBu-BCR,1.95E+00,0
k1_CpMu-BCR,3.75E+00,0
k1_CpBMu-BCR,2.50E-01,0
k2_kmCpu-BCR,1.00E+00,0
k2_kmCpBu-BCR,1.00E+00,0
k2_kmCpMu-BCR,1.00E+00,0
k2_kmCpBMu-BCR,2.50E+00,0
k1_BaM-BCR,5.00E-01,0
k1_CaB-BCR,5.00E-01,0
k1_CaM-BCR,5.00E-01,0
k1_CBaM-BCR,1.50E+00,0
k1_CMaB-BCR,5.00E-01,0
k1_CaBM-BCR,5.00E-01,0
k1_CpaBM-BCR,1.89E+00,0
k1_CpaB-BCR,7.89E+00,0
k1_CpaM-BCR,4.59E+00,0
k1_CpBaM-BCR,2.50E+00,0
k1_CpMaB-BCR,1.50E+00,0
k1_BdM-BCR,2.50E+00,0
k1_CdB-BCR,1.00E+00,0
k1_CdM-BCR,2.50E+00,0
k1_CBdM-BCR,1.50E+00,0
k1_CMdB-BCR,2.50E+00,0
k1_CpdB-BCR,3.00E-01,0
k1_CpdM-BCR,3.00E-01,0
k1_CpBdM-BCR,1.50E-01,0
k1_CpMdB-BCR,4.50E-01,0
k1_CdBM-BCR,2.00E-01,0
k1_CpdBM-BCR,2.50E-01,0
k1_Tp0-BCR,2.70E-01,0
k1_CTpS-BCR,3.20E-01,0
k1_CBTpS-BCR,1.32E+00,0
k1_CMTpS-BCR,1.32E+00,0
k1_CBMTpS-BCR,1.32E+00,0
k2_kmCTpS-BCR,2.10E+00,0
k2_kmCBTpS-BCR,2.10E+00,0
k2_kmCMTpS-BCR,2.10E+00,0
k2_kmCBMTpS-BCR,2.10E+00,0
k1_TpIKK1-BCR,1.67E+01,0
k2_kmTpIKK1-BCR,7.80E-01,0
k1_Tpu-BCR,3.40E+00,0
k2_kmTpu-BCR,1.79E+00,0
k1_TpC0-BCR,3.30E-01,0
k1_CTpCS-BCR,5.50E+00,0
k1_CBTpCS-BCR,1.75E+01,0
k1_CMTpCS-BCR,1.65E+01,0
k1_CBMTpCS-BCR,2.45E+01,0
k2_kmCTpCS-BCR,5.20E-01,0
k2_kmCBTpCS-BCR,5.20E-01,0
k2_kmCMTpCS-BCR,5.20E-01,0
k2_kmCBMTpCS-BCR,5.20E-01,0
k1_TpCIKK1-BCR,1.00E+01,0
k2_kmTpCIKK1-BCR,7.80E-01,0
k1_TpCIKK2-BCR,1.71E+01,0
k2_kmTpCIKK2-BCR,1.30E-01,0
k1_TpCIKK3-BCR,8.00E+01,0
k2_kmTpCIKK3-BCR,7.00E-01,0
k1_TpCu-BCR,1.53E+01,0
k2_kmTpCu-BCR,8.00E-01,0
k1_TaB-BCR,1.79E+02,0
k1_TaM-BCR,1.69E+02,0
k1_TaBM-BCR,3.69E+02,0
k1_TpaB-BCR,3.79E+00,0
k1_TpaM-BCR,3.79E+00,0
k1_TpaBM-BCR,3.79E+00,0
k1_TCd-BCR,4.00E+02,0
k1_TpCd-BCR,3.21E+00,0
k1_Ip0-BCR,5.50E-02,0
k1_IpTAKp-BCR,1.93E+00,0
k2_kmIpTAKp-BCR,4.00E-01,0
k1_IpTAKpC-BCR,3.80E+00,0
k2_kmIpTAKpC-BCR,0.025,0
k1_Ipu-BCR,1.50E+01,0
k2_kmIpu-BCR,6.70E-01,0
k1_ICp0-BCR,5.10E-02,0
k1_ICpTAKp-BCR,8.64E+00,0
k2_kmICpTAKp-BCR,7.10E+00,0
k1_ICpTAKpC-BCR,1.23E+01,0
k2_kmICpTAKpC-BCR,0.0025,0
k1_IpCu-BCR,1.25E+01,0
k2_kmIpCu-BCR,5.41E+00,0
k1_IaB-BCR,3.03E+01,0
k1_IaM-BCR,2.23E+01,0
k1_IaBM-BCR,5.03E+01,0
k1_IpaB-BCR,3.13E+01,0
k1_IpaM-BCR,2.33E+01,0
k1_IpaBM-BCR,6.03E+01,0
k1_ICd-BCR,3.28E+01,0
k1_IpCd-BCR,1.32E+00,0
k1_IpCfaIKKpC-BCR,1.00E-05,0
k2_kmIpCfaIKKpC-BCR,2.56E+00,0
k1_IpCfaIKKppC-BCR,1.09E+02,0
k2_kmIpCfaIKKppC-BCR,2.01E+00,0
k1_IppCu-BCR,1.53E+00,0
k2_kmIppCu-BCR,2.00E-01,0
k1_IppCd-BCR,4.50E-01,0
k1_IppChf-BCR,1.00E-01,0
k2_kmIppChf-BCR,5.00E-01,0
k1_Ipphf-BCR,9.00E-03,0
k2_kmIpphf-BCR,1.52E+00,0
k1_Iir-BCR,1.44E+00,0
k2_kmIir-BCR,3.44E+00,0
k1_A20linearinduction-BCR,1.00E+00,0
k1_A20log2halflife-BCR,0.001444057,0
k3_kdA20inhibition-BCR,1.50E+05,0
k1_halflife_A20-BCR,4.80E+02,0
k1_A20basalexpression-BCR,1.00E-02,0
k3_signal-BCR,BCRFunc(t),0
k1_IpCA20-BCR,2.00E+01,0
k2_kmIpCA20-BCR,1.00E-03,0
k1_IpA20-BCR,2.00E+01,0
k2_kmIpA20-BCR,1.00E-03,0
k1_konCD14LPS-TLR,8.75,0
k1_koffCD14LPS-TLR,0.07,0
k1_CD14synth-TLR,0.00112,0
k1_CD14deg-TLR,0.00087793,0
k1_CD14LPSassTLR4-TLR,5.543,0
k1_CD14LPSdissTLR4-TLR,0.027715,0
k1_TLR4synth-TLR,0.000052477,0
k1_CD14LPSendocytosis-TLR,0.065681,0
k1_CD14LPSrecycling-TLR,0.04,0
k1_TLR4endocytosis-TLR,0.028028,0
k1_TLR4recycling-TLR,0.5,0
k1_ligandinducedTLR4LPSendocytosis-TLR,0.065681,0
k1_TLR4LPSrecyclingslow-TLR,0.04,0
k1_LPSdeg-TLR,0.07,0
k1_TLR4deg-TLR,0.0653,0
k1_TLR4LPSendeg-TLR,0.0292,0
k1_endosomematurationdelay-TLR,100000000,0
k1_delayedTLR4LPSendeg-TLR,2,0
k1_MYD88activationbyTLR4-TLR,1500,0
k2_MYD88activationHILL-TLR,3,0
k3_MYD88activationEC50-TLR,0.0061224,0
k1_MYD88deactivation-TLR,2200,0
k1_TRIFactivation-TLR,18,0
k1_TRIFinhibition-TLR,0.04,0
k1_TRAF6activationbyMYD88-TLR,550,0
k1_TRAF6activationbyTRIF-TLR,16,0
k1_TRAF6inhibition-TLR,18,0
k1_TRAF6mediatedTAK1_offactivation-TLR,0.098,0
k1_TAK1pdeactivation-TLR,2.5,0
k1_TAK1pmediatedIKKactivation-TLR,1000,0
k1_IKKpdeactivation-TLR,0.9,0
k1_IKKpinhibition-TLR,0,0
k1_IKKirecycledtoIKK-TLR,2,0
k1_TBK1activationbyTRIF-TLR,0.011,0
k1_TBK1deactivation-TLR,0.0358,0
k1_IRF3activationbyTBK1-TLR,25,0
k1_IRF3deactivation-TLR,0.010142,0
k1_IRF3activationinnucleus-TLR,0.0143,0
k1_IRF3inactivationinnucleus-TLR,0.0194,0
k1_IRF3translocationtonucleus-TLR,0.00091935,0
k1_IRF3translocationtocytoplasm-TLR,3.6871,0
k1_IRF3sintonucleus-TLR,0.0275,0
k1_IRF3nsintocytoplasm-TLR,0.4145,0
k1_IRF3generationrate-TLR,10.0546,0
k1_IRF3deg-TLR,0.0013,0
k1_IRF3sdeg-TLR,0.0584,0
k1_IRF3nsdeg-TLR,0.015,0
k1_IRF3ndeg-TLR,0.0091,0
k2_volumescalingfactor-TLR,120,0
k1_MYD88SELFACTIVATION-TLR,1,0
k3_input_curve_function-TLR,TLRFunc(t),0
k2_kmCD14LPS-TLR,0.5,0
k1_RelAp50binding-NFkB,0.0019,0
k1_RelAnp50nbinding-NFkB,0.0019,0
k1_RelAp52binding-NFkB,0.00096,0
k1_RelAnp52nbinding-NFkB,0.00096,0
k1_RelBp52binding-NFkB,0.00096,0
k1_RelBnp52nbinding-NFkB,0.00096,0
k1_RelBp50binding-NFkB,0.00096,0
k1_RelBnp50nbinding-NFkB,0.00096,0
k1_cRelp50binding-NFkB,0.00096,0
k1_cRelnp50nbinding-NFkB,0.00096,0
k1_cRelp52binding-NFkB,0.00096,0
k1_cRelnp52nbinding-NFkB,0.00096,0
k1_p50p50binding-NFkB,0.0018,0
k1_p50np50nbinding-NFkB,0.0018,0
k1_p52p52binding-NFkB,0.0018,0
k1_p52np52nbinding-NFkB,0.0018,0
