parameter,value,distribute
k1_IKKdeg,1,0
k1_TLRIKKscaling,500,0
k1_IkBaDegIKK,0.0014,1
k1_IkBbDegIKK,0.0014,1
k1_IkBeDegIKK,0.0014,1
k1_IkBDeg,0.00024,1
k1_IkBadeg,0.12,1
k1_IkBbdeg,0.12,1
k1_IkBedeg,0.01155,1
k1_IkBddeg,0.003,1
k1_TRAF6mediatedIKKK_offactivation,0.098,0
k1_Tp0,2.70E-03,0
k1_CTpS,3.20E-01,0
k1_CBTpS,1.32E+00,0
k1_CMTpS,1.32E+00,0
k1_CBMTpS,1.32E+00,0
k2_kmCTpS,2.10E+00,0
k2_kmCBTpS,2.10E+00,0
k2_kmCMTpS,2.10E+00,0
k2_kmCBMTpS,2.10E+00,0
k1_TpIKK1,1.67E+01,0
k2_kmTpIKK1,100,0
k1_Tpu,3.40E+00,0
k2_kmTpu,1.79E+00,0
k1_TRAF6mediatedIKKK_offactivation,0.098,0
k1_IKKKdeactivation,2.5,0
k1_Tak1TRAF6,2.10E+00,0
k2_kmTak1TRAF6,5.00E-03,0
k1_A20mRNAExpression,1.12E-03,1
k1_A20mRNADeg,2.81E-01,1
k1_A20mRNANFkBDep,1.79E+00,1
k2_A20mRNANFkBDepHill,1.24,0
k1_A20Tsl,2.45E-01,0
k1_A20Deg,6.22E+00,1
k1_IKKKmediatedIKKactivation,1000,0
k1_IKKdeactivation,0.9,0
k1_IKKinhibition,0,0
k1_A20InhOfIKKActivaion,2.00E+01,0
k2_kmA20InhOfIKKActivaion,1.00E-03,0
k3_kmA20mRNANFkBDepHill,10,0
k2_kmA20InhOfIKKActivaionNew,10,0
